"count"	"date Y-m-d m:s"	"VOCIndex "	"VOCRaw " 
1	"2023-09-18 20:19:39"	0	25657
2	"2023-09-18 20:19:59"	0	29092
3	"2023-09-18 20:20:19"	0	29164
4	"2023-09-18 20:20:39"	0	29217
5	"2023-09-18 20:20:59"	0	29257
6	"2023-09-18 20:21:19"	0	29257
7	"2023-09-18 20:21:39"	0	29284
8	"2023-09-18 20:21:59"	0	29296
9	"2023-09-18 20:22:19"	0	29341
10	"2023-09-18 20:22:39"	0	29345
11	"2023-09-18 20:22:59"	0	29357
12	"2023-09-18 20:23:19"	0	29348
13	"2023-09-18 20:23:39"	0	29372
14	"2023-09-18 20:23:59"	0	29409
15	"2023-09-18 20:24:19"	0	29433
16	"2023-09-18 20:24:39"	0	29469
17	"2023-09-18 20:24:59"	0	29444
18	"2023-09-18 20:25:19"	0	29440
19	"2023-09-18 20:25:39"	0	29465
20	"2023-09-18 20:25:59"	0	29453
21	"2023-09-18 20:26:19"	0	29457
22	"2023-09-18 20:26:39"	0	29412
23	"2023-09-18 20:26:59"	0	29156
24	"2023-09-18 20:27:19"	0	29105
25	"2023-09-18 20:27:39"	0	29129
26	"2023-09-18 20:27:59"	0	29149
27	"2023-09-18 20:28:19"	0	29180
28	"2023-09-18 20:28:39"	0	29232
29	"2023-09-18 20:28:59"	0	29301
30	"2023-09-18 20:29:19"	0	29321
31	"2023-09-18 20:29:39"	0	29345
32	"2023-09-18 20:29:59"	0	29404
33	"2023-09-18 20:30:19"	0	29408
34	"2023-09-18 20:30:39"	0	29449
35	"2023-09-18 20:30:59"	0	29509
36	"2023-09-18 20:31:19"	0	29545
37	"2023-09-18 20:31:39"	0	29548
38	"2023-09-18 20:31:59"	0	29560
39	"2023-09-18 20:32:19"	0	29605
40	"2023-09-18 20:32:39"	0	29589
41	"2023-09-18 20:32:59"	0	29617
42	"2023-09-18 20:33:19"	0	29620
43	"2023-09-18 20:33:39"	0	29644
44	"2023-09-18 20:33:59"	0	29645
45	"2023-09-18 20:34:19"	0	29661
46	"2023-09-18 20:34:39"	0	29681
47	"2023-09-18 20:34:59"	1	29696
48	"2023-09-18 20:35:19"	1	29720
49	"2023-09-18 20:35:39"	1	29729
50	"2023-09-18 20:35:59"	2	29709
51	"2023-09-18 20:36:19"	5	29697
52	"2023-09-18 20:36:39"	8	29744
53	"2023-09-18 20:36:59"	11	29732
54	"2023-09-18 20:37:19"	14	29721
55	"2023-09-18 20:37:39"	17	29745
56	"2023-09-18 20:37:59"	20	29737
57	"2023-09-18 20:38:19"	23	29732
58	"2023-09-18 20:38:39"	26	29760
59	"2023-09-18 20:38:59"	29	29713
60	"2023-09-18 20:39:19"	32	29729
61	"2023-09-18 20:39:39"	35	29741
62	"2023-09-18 20:39:59"	38	29708
63	"2023-09-18 20:40:19"	40	29728
64	"2023-09-18 20:40:39"	43	29741
65	"2023-09-18 20:40:59"	45	29733
66	"2023-09-18 20:41:19"	47	29753
67	"2023-09-18 20:41:39"	49	29748
68	"2023-09-18 20:41:59"	51	29748
69	"2023-09-18 20:42:19"	52	29761
70	"2023-09-18 20:42:39"	54	29749
71	"2023-09-18 20:42:59"	56	29725
72	"2023-09-18 20:43:19"	58	29732
73	"2023-09-18 20:43:39"	59	29752
74	"2023-09-18 20:43:59"	60	29773
75	"2023-09-18 20:44:19"	61	29777
76	"2023-09-18 20:44:39"	62	29777
77	"2023-09-18 20:44:59"	63	29768
78	"2023-09-18 20:45:19"	64	29768
79	"2023-09-18 20:45:39"	65	29761
80	"2023-09-18 20:45:59"	67	29781
81	"2023-09-18 20:46:19"	67	29773
82	"2023-09-18 20:46:39"	68	29764
83	"2023-09-18 20:46:59"	69	29796
84	"2023-09-18 20:47:19"	69	29825
85	"2023-09-18 20:47:39"	69	29797
86	"2023-09-18 20:47:59"	70	29769
87	"2023-09-18 20:48:19"	71	29772
88	"2023-09-18 20:48:39"	73	29736
89	"2023-09-18 20:48:59"	74	29773
90	"2023-09-18 20:49:19"	75	29765
91	"2023-09-18 20:49:39"	76	29777
92	"2023-09-18 20:49:59"	76	29812
93	"2023-09-18 20:50:19"	76	29796
94	"2023-09-18 20:50:39"	77	29805
95	"2023-09-18 20:50:59"	77	29805
96	"2023-09-18 20:51:19"	77	29801
97	"2023-09-18 20:51:39"	77	29808
98	"2023-09-18 20:51:59"	77	29832
99	"2023-09-18 20:52:19"	77	29849
100	"2023-09-18 20:52:39"	77	29841
101	"2023-09-18 20:52:59"	77	29849
102	"2023-09-18 20:53:19"	77	29844
103	"2023-09-18 20:53:39"	76	29872
104	"2023-09-18 20:53:59"	76	29865
105	"2023-09-18 20:54:19"	76	29849
106	"2023-09-18 20:54:39"	76	29793
107	"2023-09-18 20:54:59"	77	29820
108	"2023-09-18 20:55:19"	78	29800
109	"2023-09-18 20:55:39"	79	29797
110	"2023-09-18 20:55:59"	79	29809
111	"2023-09-18 20:56:19"	80	29789
112	"2023-09-18 20:56:39"	82	29792
113	"2023-09-18 20:56:59"	82	29804
114	"2023-09-18 20:57:19"	83	29821
115	"2023-09-18 20:57:39"	83	29821
116	"2023-09-18 20:57:59"	83	29837
117	"2023-09-18 20:58:19"	84	29832
118	"2023-09-18 20:58:39"	84	29848
119	"2023-09-18 20:58:59"	84	29837
120	"2023-09-18 20:59:19"	84	29845
121	"2023-09-18 20:59:39"	84	29801
122	"2023-09-18 20:59:59"	85	29780
123	"2023-09-18 21:00:19"	86	29824
124	"2023-09-18 21:00:39"	86	29865
125	"2023-09-18 21:00:59"	85	29861
126	"2023-09-18 21:01:19"	85	29845
127	"2023-09-18 21:01:39"	85	29832
128	"2023-09-18 21:01:59"	86	29844
129	"2023-09-18 21:02:19"	86	29853
130	"2023-09-18 21:02:39"	86	29837
131	"2023-09-18 21:02:59"	87	29833
132	"2023-09-18 21:03:19"	87	29860
133	"2023-09-18 21:03:39"	87	29836
134	"2023-09-18 21:03:59"	87	29805
135	"2023-09-18 21:04:19"	88	29813
136	"2023-09-18 21:04:39"	89	29825
137	"2023-09-18 21:04:58"	89	29800
138	"2023-09-18 21:05:18"	90	29792
139	"2023-09-18 21:05:38"	92	29753
140	"2023-09-18 21:05:58"	94	29765
141	"2023-09-18 21:06:18"	95	29777
142	"2023-09-18 21:06:38"	96	29776
143	"2023-09-18 21:06:58"	97	29804
144	"2023-09-18 21:07:18"	97	29801
145	"2023-09-18 21:07:38"	98	29793
146	"2023-09-18 21:07:58"	98	29817
147	"2023-09-18 21:08:18"	98	29788
148	"2023-09-18 21:08:38"	99	29776
149	"2023-09-18 21:08:58"	100	29749
150	"2023-09-18 21:09:18"	101	29757
151	"2023-09-18 21:09:38"	102	29753
152	"2023-09-18 21:09:58"	103	29740
153	"2023-09-18 21:10:18"	105	29732
154	"2023-09-18 21:10:38"	106	29717
155	"2023-09-18 21:10:58"	107	29717
156	"2023-09-18 21:11:18"	108	29741
157	"2023-09-18 21:11:38"	108	29764
158	"2023-09-18 21:11:58"	108	29780
159	"2023-09-18 21:12:18"	108	29777
160	"2023-09-18 21:12:38"	107	29805
161	"2023-09-18 21:12:58"	106	29845
162	"2023-09-18 21:13:18"	105	29860
163	"2023-09-18 21:13:38"	103	29864
164	"2023-09-18 21:13:58"	102	29845
165	"2023-09-18 21:14:18"	101	29853
166	"2023-09-18 21:14:38"	100	29849
167	"2023-09-18 21:14:58"	99	29860
168	"2023-09-18 21:15:18"	98	29844
169	"2023-09-18 21:15:38"	97	29845
170	"2023-09-18 21:15:58"	97	29845
171	"2023-09-18 21:16:18"	96	29833
172	"2023-09-18 21:16:38"	96	29860
173	"2023-09-18 21:16:58"	95	29860
174	"2023-09-18 21:17:18"	95	29853
175	"2023-09-18 21:17:38"	95	29813
176	"2023-09-18 21:17:58"	96	29761
177	"2023-09-18 21:18:18"	98	29720
178	"2023-09-18 21:18:38"	100	29760
179	"2023-09-18 21:18:58"	100	29777
180	"2023-09-18 21:19:18"	101	29773
181	"2023-09-18 21:19:38"	102	29753
182	"2023-09-18 21:19:58"	102	29808
183	"2023-09-18 21:20:18"	102	29796
184	"2023-09-18 21:20:38"	102	29785
185	"2023-09-18 21:20:58"	102	29797
186	"2023-09-18 21:21:18"	103	29789
187	"2023-09-18 21:21:38"	103	29784
188	"2023-09-18 21:21:58"	103	29752
189	"2023-09-18 21:22:18"	104	29769
190	"2023-09-18 21:22:38"	104	29765
191	"2023-09-18 21:22:58"	105	29753
192	"2023-09-18 21:23:18"	106	29752
193	"2023-09-18 21:23:38"	106	29752
194	"2023-09-18 21:23:58"	107	29761
195	"2023-09-18 21:24:18"	106	29797
196	"2023-09-18 21:24:38"	106	29805
197	"2023-09-18 21:24:58"	105	29816
198	"2023-09-18 21:25:18"	104	29812
199	"2023-09-18 21:25:38"	103	29829
200	"2023-09-18 21:25:58"	103	29797
201	"2023-09-18 21:26:18"	103	29781
202	"2023-09-18 21:26:38"	103	29816
203	"2023-09-18 21:26:58"	102	29860
204	"2023-09-18 21:27:18"	101	29861
205	"2023-09-18 21:27:38"	100	29849
206	"2023-09-18 21:27:58"	98	29873
207	"2023-09-18 21:28:18"	97	29876
208	"2023-09-18 21:28:38"	96	29864
209	"2023-09-18 21:28:58"	95	29941
210	"2023-09-18 21:29:18"	93	29921
211	"2023-09-18 21:29:38"	92	29893
212	"2023-09-18 21:29:58"	91	29896
213	"2023-09-18 21:30:18"	90	29928
214	"2023-09-18 21:30:38"	89	29917
215	"2023-09-18 21:30:58"	88	29893
216	"2023-09-18 21:31:18"	88	29849
217	"2023-09-18 21:31:38"	88	29860
218	"2023-09-18 21:31:58"	88	29856
219	"2023-09-18 21:32:18"	89	29869
220	"2023-09-18 21:32:38"	88	29889
221	"2023-09-18 21:32:58"	88	29925
222	"2023-09-18 21:33:18"	87	29920
223	"2023-09-18 21:33:38"	86	29920
224	"2023-09-18 21:33:58"	86	29897
225	"2023-09-18 21:34:18"	85	29905
226	"2023-09-18 21:34:38"	85	29901
227	"2023-09-18 21:34:58"	86	29860
228	"2023-09-18 21:35:18"	87	29820
229	"2023-09-18 21:35:38"	88	29817
230	"2023-09-18 21:35:58"	90	29781
231	"2023-09-18 21:36:18"	93	29753
232	"2023-09-18 21:36:38"	96	29732
233	"2023-09-18 21:36:58"	99	29732
234	"2023-09-18 21:37:18"	102	29737
235	"2023-09-18 21:37:38"	104	29721
236	"2023-09-18 21:37:58"	106	29765
237	"2023-09-18 21:38:18"	107	29768
238	"2023-09-18 21:38:38"	108	29804
239	"2023-09-18 21:38:58"	108	29813
240	"2023-09-18 21:39:18"	108	29797
241	"2023-09-18 21:39:38"	108	29777
242	"2023-09-18 21:39:58"	109	29788
243	"2023-09-18 21:40:18"	109	29792
244	"2023-09-18 21:40:38"	109	29785
245	"2023-09-18 21:40:58"	110	29753
246	"2023-09-18 21:41:18"	111	29781
247	"2023-09-18 21:41:38"	111	29772
248	"2023-09-18 21:41:58"	111	29748
249	"2023-09-18 21:42:18"	112	29745
250	"2023-09-18 21:42:38"	113	29745
251	"2023-09-18 21:42:58"	114	29753
252	"2023-09-18 21:43:18"	114	29768
253	"2023-09-18 21:43:38"	114	29756
254	"2023-09-18 21:43:58"	114	29769
255	"2023-09-18 21:44:18"	114	29745
256	"2023-09-18 21:44:38"	114	29765
257	"2023-09-18 21:44:58"	114	29752
258	"2023-09-18 21:45:18"	114	29764
259	"2023-09-18 21:45:38"	114	29757
260	"2023-09-18 21:45:58"	114	29753
261	"2023-09-18 21:46:18"	113	29749
262	"2023-09-18 21:46:38"	114	29756
263	"2023-09-18 21:46:58"	113	29780
264	"2023-09-18 21:47:18"	113	29753
265	"2023-09-18 21:47:38"	113	29777
266	"2023-09-18 21:47:58"	112	29777
267	"2023-09-18 21:48:18"	112	29764
268	"2023-09-18 21:48:38"	111	29772
269	"2023-09-18 21:48:58"	110	29797
270	"2023-09-18 21:49:18"	110	29773
271	"2023-09-18 21:49:38"	110	29761
272	"2023-09-18 21:49:58"	110	29760
273	"2023-09-18 21:50:18"	110	29760
274	"2023-09-18 21:50:38"	110	29769
275	"2023-09-18 21:50:58"	109	29781
276	"2023-09-18 21:51:18"	109	29769
277	"2023-09-18 21:51:38"	109	29772
278	"2023-09-18 21:51:58"	108	29768
279	"2023-09-18 21:52:18"	108	29781
280	"2023-09-18 21:52:38"	108	29785
281	"2023-09-18 21:52:58"	107	29777
282	"2023-09-18 21:53:18"	107	29780
283	"2023-09-18 21:53:38"	106	29764
284	"2023-09-18 21:53:58"	106	29777
285	"2023-09-18 21:54:18"	106	29773
286	"2023-09-18 21:54:38"	106	29789
287	"2023-09-18 21:54:58"	106	29776
288	"2023-09-18 21:55:18"	105	29788
289	"2023-09-18 21:55:38"	105	29789
290	"2023-09-18 21:55:58"	104	29793
